"title","authors","matched_title","matched_author","submitted","updated","score","num_reviews","id","arx_id","arx_id_match","match_type"
"GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks","[""Zhao Chen"", ""Vijay Badrinarayanan"", ""Chen-Yu Lee"", ""Andrew Rabinovich""]","GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks","Zhao Chen|Vijay Badrinarayanan|Chen-Yu Lee|Andrew Rabinovich","2017-11-07 02:08:12","2018-06-12 06:45:49",4.66666666666667,3,"H1bM1fZCW",NA,"1711.02257v4","automatic"
"Unbiased scalable softmax optimization","[""Francois Fagan"", ""Garud Iyengar""]","Unbiased scalable softmax optimization","Francois Fagan|Garud Iyengar","2018-03-22 20:32:32","2018-03-22 20:32:32",5,3,"H1bhRHeA-",NA,"1803.08577v1","automatic"
"UCB EXPLORATION VIA Q-ENSEMBLES","[""Richard Y. Chen"", ""Szymon Sidor"", ""Pieter Abbeel"", ""John Schulman""]","UCB Exploration via Q-Ensembles","Richard Y. Chen|Szymon Sidor|Pieter Abbeel|John Schulman","2017-06-05 19:01:26","2017-11-07 20:45:59",6,3,"H1cKvl-Rb",NA,"1706.01502v3","automatic"
"Bi-Directional Block Self-Attention for Fast and Memory-Efficient Sequence Modeling","[""Tao Shen"", ""Tianyi Zhou"", ""Guodong Long"", ""Jing Jiang"", ""Chengqi Zhang""]","Bi-Directional Block Self-Attention for Fast and Memory-Efficient Sequence Modeling","Tao Shen|Tianyi Zhou|Guodong Long|Jing Jiang|Chengqi Zhang","2018-04-03 07:41:10","2018-04-03 07:41:10",7,3,"H1cWzoxA-",NA,"1804.00857v1","automatic"
"TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning","[""Gregory Farquhar"", ""Tim Rockt\u00e4schel"", ""Maximilian Igl"", ""Shimon Whiteson""]","TreeQN and ATreeC: Differentiable Tree-Structured Models for Deep Reinforcement Learning","Gregory Farquhar|Tim Rocktäschel|Maximilian Igl|Shimon Whiteson","2017-10-31 11:54:35","2018-03-08 17:30:48",5.66666666666667,3,"H1dh6Ax0Z",NA,"1710.11417v2","automatic"
"Variational Inference of Disentangled Latent Concepts from Unlabeled Observations","[""Abhishek Kumar"", ""Prasanna Sattigeri"", ""Avinash Balakrishnan""]","Variational Inference of Disentangled Latent Concepts from Unlabeled Observations","Abhishek Kumar|Prasanna Sattigeri|Avinash Balakrishnan","2017-11-02 17:57:43","2018-12-27 19:25:22",6.66666666666667,3,"H1kG7GZAW",NA,"1711.00848v3","automatic"
"Sequential Coordination of Deep Models for Learning Visual Arithmetic","[""Eric Crawford"", ""Guillaume Rabusseau"", ""Joelle Pineau""]","Sequential Coordination of Deep Models for Learning Visual Arithmetic","Eric Crawford|Guillaume Rabusseau|Joelle Pineau","2018-09-13 14:27:25","2018-09-13 14:27:25",3,3,"H1kMMmb0-",NA,"1809.04988v1","automatic"
"Improving generalization by regularizing in $L^2$ function space","[""Ari S Benjamin"", ""Konrad Kording""]",NA,NA,NA,NA,5,3,"H1l8sz-AW",NA,NA,"automatic"
"Action-dependent Control Variates for Policy Optimization via Stein Identity","[""Hao Liu*"", ""Yihao Feng*"", ""Yi Mao"", ""Dengyong Zhou"", ""Jian Peng"", ""Qiang Liu""]",NA,NA,NA,NA,7,3,"H1mCp-ZRZ",NA,NA,"automatic"
"DCN+: Mixed Objective And Deep Residual Coattention for Question Answering","[""Caiming Xiong"", ""Victor Zhong"", ""Richard Socher""]","DCN+: Mixed Objective and Deep Residual Coattention for Question Answering","Caiming Xiong|Victor Zhong|Richard Socher","2017-10-31 20:53:42","2017-11-10 20:56:56",7,3,"H1meywxRW",NA,"1711.00106v2","automatic"
"Deep Function Machines: Generalized Neural Networks for Topological Layer Expression","[""William H. Guss""]","Deep Function Machines: Generalized Neural Networks for Topological Layer Expression","William H. Guss","2016-12-14 20:39:23","2017-11-06 20:51:33",4.66666666666667,3,"H1pri9vTZ",NA,"1612.04799v2","automatic"
"A DIRT-T Approach to Unsupervised Domain Adaptation","[""Rui Shu"", ""Hung Bui"", ""Hirokazu Narui"", ""Stefano Ermon""]","A DIRT-T Approach to Unsupervised Domain Adaptation","Rui Shu|Hung H. Bui|Hirokazu Narui|Stefano Ermon","2018-02-23 20:57:28","2018-03-19 13:45:46",7.33333333333333,3,"H1q-TM-AW",NA,"1802.08735v2","automatic"
"An information-theoretic analysis of deep latent-variable models","[""Alex Alemi"", ""Ben Poole"", ""Ian Fischer"", ""Josh Dillon"", ""Rif A. Saurus"", ""Kevin Murphy""]",NA,NA,NA,NA,5.66666666666667,3,"H1rRWl-Cb",NA,NA,"automatic"
"Learning From Noisy Singly-labeled Data","[""Ashish Khetan"", ""Zachary C. Lipton"", ""Animashree Anandkumar""]","Learning From Noisy Singly-labeled Data","Ashish Khetan|Zachary C. Lipton|Anima Anandkumar","2017-12-13 00:23:10","2018-05-20 06:17:50",6.66666666666667,3,"H1sUHgb0Z",NA,"1712.04577v2","automatic"
"Discovering the mechanics of hidden neurons","[""Simon Carbonnelle"", ""Christophe De Vleeschouwer""]",NA,NA,NA,NA,5.33333333333333,3,"H1srNebAZ",NA,NA,"automatic"
"Variance Reduction for Policy Gradient with Action-Dependent Factorized Baselines","[""Cathy Wu"", ""Aravind Rajeswaran"", ""Yan Duan"", ""Vikash Kumar"", ""Alexandre M Bayen"", ""Sham Kakade"", ""Igor Mordatch"", ""Pieter Abbeel""]","Variance Reduction for Policy Gradient with Action-Dependent Factorized Baselines","Cathy Wu|Aravind Rajeswaran|Yan Duan|Vikash Kumar|Alexandre M Bayen|Sham Kakade|Igor Mordatch|Pieter Abbeel","2018-03-20 03:52:04","2018-03-20 03:52:04",7,3,"H1tSsb-AW",NA,"1803.07246v1","automatic"
"Toward predictive machine learning for active vision","[""Emmanuel Dauc\u00e9""]","Toward predictive machine learning for active vision","Emmanuel Daucé","2017-10-28 13:08:19","2018-01-08 11:01:59",3.66666666666667,3,"H1u8fMW0b",NA,"1710.10460v3","automatic"
"Learning to diagnose from scratch by exploiting dependencies among labels","[""Li Yao"", ""Eric Poblenz"", ""Dmitry Dagunts"", ""Ben Covington"", ""Devon Bernard"", ""Kevin Lyman""]","Learning to diagnose from scratch by exploiting dependencies among labels","Li Yao|Eric Poblenz|Dmitry Dagunts|Ben Covington|Devon Bernard|Kevin Lyman","2017-10-28 17:25:23","2018-02-01 22:16:56",6,3,"H1uP7ebAW",NA,"1710.10501v2","automatic"
"Stochastic Activation Pruning for Robust Adversarial Defense","[""Guneet S. Dhillon"", ""Kamyar Azizzadenesheli"", ""Zachary C. Lipton"", ""Jeremy D. Bernstein"", ""Jean Kossaifi"", ""Aran Khanna"", ""Animashree Anandkumar""]","Stochastic Activation Pruning for Robust Adversarial Defense","Guneet S. Dhillon|Kamyar Azizzadenesheli|Zachary C. Lipton|Jeremy Bernstein|Jean Kossaifi|Aran Khanna|Anima Anandkumar","2018-03-05 00:17:05","2018-03-05 00:17:05",6.33333333333333,3,"H1uR4GZRZ",NA,"1803.01442v1","automatic"
"Interpreting Deep Classification Models With Bayesian Inference","[""Hanshu Yan"", ""Jiashi Feng""]",NA,NA,NA,NA,3.66666666666667,3,"H1vCXOe0b",NA,NA,"automatic"
"Emergent Translation in Multi-Agent Communication","[""Jason Lee"", ""Kyunghyun Cho"", ""Jason Weston"", ""Douwe Kiela""]","Emergent Translation in Multi-Agent Communication","Jason Lee|Kyunghyun Cho|Jason Weston|Douwe Kiela","2017-10-12 00:37:27","2018-04-11 03:22:49",6.66666666666667,3,"H1vEXaxA-",NA,"1710.06922v2","automatic"
"Interpretable and Pedagogical Examples","[""Smitha Milli"", ""Pieter Abbeel"", ""Igor Mordatch""]","Interpretable and Pedagogical Examples","Smitha Milli|Pieter Abbeel|Igor Mordatch","2017-11-02 11:40:08","2018-02-14 15:41:23",6.66666666666667,3,"H1wt9x-RW",NA,"1711.00694v2","automatic"
"INTERPRETATION OF NEURAL NETWORK IS FRAGILE","[""Amirata Ghorbani"", ""Abubakar Abid"", ""James Zou""]",NA,NA,NA,NA,5,3,"H1xJjlbAZ",NA,NA,"automatic"
"Hyperparameter optimization: a spectral approach","[""Elad Hazan"", ""Adam Klivans"", ""Yang Yuan""]","Hyperparameter Optimization: A Spectral Approach","Elad Hazan|Adam Klivans|Yang Yuan","2017-06-02 17:25:58","2018-01-20 03:49:23",7,3,"H1zriGeCZ",NA,"1706.00764v4","automatic"
"Evaluation of generative networks through their data augmentation capacity","[""Timoth\u00e9e Lesort"", ""Florian Bordes"", ""Jean-Francois Goudou"", ""David Filliat""]",NA,NA,NA,NA,3.66666666666667,3,"HJ1HFlZAb",NA,NA,"automatic"
"Associative Conversation Model: Generating Visual Information from Textual Information","[""Yoichi Ishibashi"", ""Hisashi Miyamori""]",NA,NA,NA,NA,3.33333333333333,3,"HJ39YKiTb",NA,NA,"automatic"
"Benefits of Depth for Long-Term Memory of Recurrent Networks","[""Yoav Levine"", ""Or Sharir"", ""Amnon Shashua""]",NA,NA,NA,NA,6,3,"HJ3d2Ax0-",NA,NA,"automatic"
"Meta-Learning Transferable Active Learning Policies by Deep Reinforcement Learning","[""Kunkun Pang"", ""Mingzhi Dong"", ""Timothy Hospedales""]","Meta-Learning Transferable Active Learning Policies by Deep Reinforcement Learning","Kunkun Pang|Mingzhi Dong|Yang Wu|Timothy Hospedales","2018-06-12 23:52:08","2018-06-12 23:52:08",6.33333333333333,3,"HJ4IhxZAb",NA,"1806.04798v1","automatic"
"The Variational Homoencoder: Learning to Infer High-Capacity Generative Models from Few Examples","[""Luke Hewitt"", ""Andrea Gane"", ""Tommi Jaakkola"", ""Joshua B. Tenenbaum""]",NA,NA,NA,NA,6,3,"HJ5AUm-CZ",NA,NA,"automatic"
"GATED FAST WEIGHTS FOR ASSOCIATIVE RETRIEVAL","[""Imanol Schlag"", ""J\u00fcrgen Schmidhuber""]",NA,NA,NA,NA,4,3,"HJ8W1Q-0Z",NA,NA,"automatic"
"Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers","[""Jianbo Ye"", ""Xin Lu"", ""Zhe Lin"", ""James Z. Wang""]","Rethinking the Smaller-Norm-Less-Informative Assumption in Channel Pruning of Convolution Layers","Jianbo Ye|Xin Lu|Zhe Lin|James Z. Wang","2018-02-01 01:58:22","2018-02-02 19:58:54",6,3,"HJ94fqApW",NA,"1802.00124v2","automatic"
"A Spectral Approach to Generalization and Optimization in Neural Networks","[""Farzan Farnia"", ""Jesse Zhang"", ""David Tse""]",NA,NA,NA,NA,5.33333333333333,3,"HJBhEMbRb",NA,NA,"automatic"
"Sensitivity and Generalization in Neural Networks: an Empirical Study","[""Roman Novak"", ""Yasaman Bahri"", ""Daniel A. Abolafia"", ""Jeffrey Pennington"", ""Jascha Sohl-Dickstein""]","Sensitivity and Generalization in Neural Networks: an Empirical Study","Roman Novak|Yasaman Bahri|Daniel A. Abolafia|Jeffrey Pennington|Jascha Sohl-Dickstein","2018-02-23 23:11:07","2018-06-18 18:01:43",5.66666666666667,3,"HJC2SzZCW",NA,"1802.08760v3","automatic"
"Hierarchical Density Order Embeddings","[""Ben Athiwaratkun"", ""Andrew Gordon Wilson""]","Hierarchical Density Order Embeddings","Ben Athiwaratkun|Andrew Gordon Wilson","2018-04-26 00:43:49","2018-04-26 00:43:49",6,3,"HJCXZQbAZ",NA,"1804.09843v1","automatic"
"Learning objects from pixels","[""David Saxton""]",NA,NA,NA,NA,3.66666666666667,3,"HJDUjKeA-",NA,NA,"automatic"
"Heterogeneous Bitwidth Binarization in Convolutional Neural Networks","[""Josh Fromm"", ""Matthai Philipose"", ""Shwetak Patel""]","Heterogeneous Bitwidth Binarization in Convolutional Neural Networks","Josh Fromm|Shwetak Patel|Matthai Philipose","2018-05-25 21:21:32","2018-10-31 19:35:07",5,3,"HJDV5YxCW",NA,"1805.10368v2","automatic"
"Training and Inference with Integers in Deep Neural Networks","[""Shuang Wu"", ""Guoqi Li"", ""Feng Chen"", ""Luping Shi""]","Training and Inference with Integers in Deep Neural Networks","Shuang Wu|Guoqi Li|Feng Chen|Luping Shi","2018-02-13 15:23:20","2018-02-13 15:23:20",7.33333333333333,3,"HJGXzmspb",NA,"1802.04680v1","automatic"
"Emergence of Linguistic Communication from  Referential Games with Symbolic and Pixel Input","[""Angeliki Lazaridou"", ""Karl Moritz Hermann"", ""Karl Tuyls"", ""Stephen Clark""]","Emergence of Linguistic Communication from Referential Games with Symbolic and Pixel Input","Angeliki Lazaridou|Karl Moritz Hermann|Karl Tuyls|Stephen Clark","2018-04-11 13:51:19","2018-04-11 13:51:19",7,3,"HJGv1Z-AW",NA,"1804.03984v1","automatic"
"Prediction Under Uncertainty with Error Encoding Networks","[""Mikael Henaff"", ""Junbo Zhao"", ""Yann Lecun""]","Prediction Under Uncertainty with Error-Encoding Networks","Mikael Henaff|Junbo Zhao|Yann LeCun","2017-11-14 08:32:43","2017-11-30 23:11:58",4.66666666666667,3,"HJIhGXWCZ",NA,"1711.04994v3","automatic"
"Adversarial Dropout Regularization","[""Kuniaki Saito"", ""Yoshitaka Ushiku"", ""Tatsuya Harada"", ""Kate Saenko""]","Adversarial Dropout Regularization","Kuniaki Saito|Yoshitaka Ushiku|Tatsuya Harada|Kate Saenko","2017-11-05 12:26:09","2018-03-02 00:40:13",6.66666666666667,3,"HJIoJWZCZ",NA,"1711.01575v3","automatic"
"Long-term Forecasting using Tensor-Train RNNs","[""Rose Yu"", ""Stephan Zheng"", ""Anima Anandkumar"", ""Yisong Yue""]",NA,NA,NA,NA,5,3,"HJJ0w--0W",NA,NA,"automatic"
"Initialization matters: Orthogonal Predictive State Recurrent Neural Networks","[""Krzysztof Choromanski"", ""Carlton Downey"", ""Byron Boots""]",NA,NA,NA,NA,6.33333333333333,3,"HJJ23bW0b",NA,NA,"automatic"
"Learning Parsimonious Deep Feed-forward Networks","[""Zhourong Chen"", ""Xiaopeng Li"", ""Nevin L. Zhang""]",NA,NA,NA,NA,4.66666666666667,3,"HJMN-xWC-",NA,NA,"automatic"
"What is image captioning made of?","[""Pranava Madhyastha"", ""Josiah Wang"", ""Lucia Specia""]",NA,NA,NA,NA,4,3,"HJNGGmZ0Z",NA,NA,"automatic"
"Residual Loss Prediction: Reinforcement Learning With No Incremental Feedback","[""Hal Daum\u00e9 III"", ""John Langford"", ""Amr Sharaf""]",NA,NA,NA,NA,6.66666666666667,3,"HJNMYceCW",NA,NA,"automatic"
"Long Short-Term Memory as a Dynamically Computed Element-wise Weighted Sum","[""Omer Levy"", ""Kenton Lee"", ""Nicholas FitzGerald"", ""Luke Zettlemoyer""]","Long Short-Term Memory as a Dynamically Computed Element-wise Weighted Sum","Omer Levy|Kenton Lee|Nicholas FitzGerald|Luke Zettlemoyer","2018-05-09 20:05:58","2018-05-09 20:05:58",6,3,"HJOQ7MgAW",NA,"1805.03716v1","automatic"
"Learning to navigate by distilling visual information and natural language instructions","[""Abhishek Sinha"", ""Akilesh B"", ""Mausoom Sarkar"", ""Balaji Krishnamurthy""]",NA,NA,NA,NA,4.33333333333333,3,"HJPSN3gRW",NA,NA,"automatic"
"FAST READING COMPREHENSION WITH CONVNETS","[""Felix Wu"", ""Ni Lao"", ""John Blitzer"", ""Guandao Yang"", ""Kilian Weinberger""]","Fast Reading Comprehension with ConvNets","Felix Wu|Ni Lao|John Blitzer|Guandao Yang|Kilian Weinberger","2017-11-12 20:40:25","2017-11-12 20:40:25",5.33333333333333,3,"HJRV1ZZAW",NA,"1711.04352v1","automatic"
"Normalized Direction-preserving Adam","[""Zijun Zhang"", ""Lin Ma"", ""Zongpeng Li"", ""Chuan Wu""]","Normalized Direction-preserving Adam","Zijun Zhang|Lin Ma|Zongpeng Li|Chuan Wu","2017-09-13 21:38:02","2018-09-18 02:35:39",4.66666666666667,3,"HJSA_e1AW",NA,"1709.04546v2","automatic"
"Contextual Explanation Networks","[""Maruan Al-Shedivat"", ""Avinava Dubey"", ""Eric P. Xing""]","Contextual Explanation Networks","Maruan Al-Shedivat|Avinava Dubey|Eric P. Xing","2017-05-29 17:39:51","2020-09-09 14:20:44",6,3,"HJUOHGWRb",NA,"1705.10301v4","automatic"
"Reinforcement and Imitation Learning for Diverse Visuomotor Skills","[""Yuke Zhu"", ""Ziyu Wang"", ""Josh Merel"", ""Andrei Rusu"", ""Tom Erez"", ""Serkan Cabi"", ""Saran Tunyasuvunakool"", ""J\u00e1nos Kram\u00e1r"", ""Raia Hadsell"", ""Nando de Freitas"", ""Nicolas Heess""]","Reinforcement and Imitation Learning for Diverse Visuomotor Skills","Yuke Zhu|Ziyu Wang|Josh Merel|Andrei Rusu|Tom Erez|Serkan Cabi|Saran Tunyasuvunakool|János Kramár|Raia Hadsell|Nando de Freitas|Nicolas Heess","2018-02-26 19:25:25","2018-05-27 22:41:09",4.66666666666667,3,"HJWGdbbCW",NA,"1802.09564v2","automatic"
"Matrix capsules with EM routing","[""Geoffrey E Hinton"", ""Sara Sabour"", ""Nicholas Frosst""]",NA,NA,NA,NA,5.66666666666667,3,"HJWLfGWRb",NA,NA,"automatic"
"When and where do feed-forward neural networks learn localist representations?","[""Ella M. Gale"", ""Nicolas Martin"", ""Jeffrey Bowers""]","When and where do feed-forward neural networks learn localist representations?","Ella M. Gale|Nicolas Martin|Jeffrey S. Bowers","2018-06-11 12:21:55","2018-06-11 12:21:55",3.66666666666667,3,"HJXOfZ-AZ",NA,"1806.03934v1","automatic"
"A Goal-oriented Neural Conversation Model by Self-Play","[""Wei Wei"", ""Quoc V. Le"", ""Andrew M. Dai"", ""Li-Jia Li""]",NA,NA,NA,NA,4.33333333333333,3,"HJXyS7bRb",NA,NA,"automatic"
"On the limitations of first order approximation in GAN dynamics","[""Jerry Li"", ""Aleksander Madry"", ""John Peebles"", ""Ludwig Schmidt""]","On the Limitations of First-Order Approximation in GAN Dynamics","Jerry Li|Aleksander Madry|John Peebles|Ludwig Schmidt","2017-06-29 17:52:44","2018-06-03 23:00:03",5.33333333333333,3,"HJYQLb-RW",NA,"1706.09884v2","automatic"
"A comparison of second-order methods for deep convolutional neural networks","[""Patrick H. Chen"", ""Cho-jui Hsieh""]",NA,NA,NA,NA,4.66666666666667,3,"HJYoqzbC-",NA,NA,"automatic"
"Byte-Level Recursive Convolutional Auto-Encoder for Text","[""Xiang Zhang"", ""Yann LeCun""]","Byte-Level Recursive Convolutional Auto-Encoder for Text","Xiang Zhang|Yann LeCun","2018-02-06 06:47:09","2018-02-06 06:47:09",5.66666666666667,3,"HJZiRkZC-",NA,"1802.01817v1","automatic"
"Multi-label Learning for Large Text Corpora using Latent Variable Model with Provable Gurantees","[""Sayantan Dasgupta""]",NA,NA,NA,NA,3.66666666666667,3,"HJ_X8GupW",NA,NA,"automatic"
"SpectralNet: Spectral Clustering using Deep Neural Networks","[""Uri Shaham"", ""Kelly Stanton"", ""Henry Li"", ""Ronen Basri"", ""Boaz Nadler"", ""Yuval Kluger""]","SpectralNet: Spectral Clustering using Deep Neural Networks","Uri Shaham|Kelly Stanton|Henry Li|Boaz Nadler|Ronen Basri|Yuval Kluger","2018-01-04 23:56:36","2018-04-04 12:46:19",5.66666666666667,3,"HJ_aoCyRZ",NA,"1801.01587v6","automatic"
"Block-Sparse Recurrent Neural Networks","[""Sharan Narang"", ""Eric Undersander"", ""Gregory Diamos""]","Block-Sparse Recurrent Neural Networks","Sharan Narang|Eric Undersander|Gregory Diamos","2017-11-08 00:57:54","2017-11-08 00:57:54",5.66666666666667,3,"HJaDJZ-0W",NA,"1711.02782v1","automatic"
"Meta-Learning for Semi-Supervised Few-Shot Classification","[""Mengye Ren"", ""Eleni Triantafillou"", ""Sachin Ravi"", ""Jake Snell"", ""Kevin Swersky"", ""Joshua B. Tenenbaum"", ""Hugo Larochelle"", ""Richard S. Zemel""]","Meta-Learning for Semi-Supervised Few-Shot Classification","Mengye Ren|Eleni Triantafillou|Sachin Ravi|Jake Snell|Kevin Swersky|Joshua B. Tenenbaum|Hugo Larochelle|Richard S. Zemel","2018-03-02 01:07:49","2018-03-02 01:07:49",6,3,"HJcSzz-CZ",NA,"1803.00676v1","automatic"
"PrivyNet: A Flexible Framework for Privacy-Preserving Deep Neural Network Training","[""Meng Li"", ""Liangzhen Lai"", ""Naveen Suda"", ""Vikas Chandra"", ""David Z. Pan""]","PrivyNet: A Flexible Framework for Privacy-Preserving Deep Neural Network Training","Meng Li|Liangzhen Lai|Naveen Suda|Vikas Chandra|David Z. Pan","2017-09-18 20:38:29","2018-01-12 01:13:59",4.66666666666667,3,"HJcjQTJ0W",NA,"1709.06161v3","automatic"
"CrescendoNet: A Simple Deep Convolutional Neural Network with Ensemble Behavior","[""Xiang Zhang"", ""Nishant Vishwamitra"", ""Hongxin Hu"", ""Feng Luo""]","CrescendoNet: A Simple Deep Convolutional Neural Network with Ensemble Behavior","Xiang Zhang|Nishant Vishwamitra|Hongxin Hu|Feng Luo","2017-10-30 18:35:01","2018-01-04 17:01:21",4.33333333333333,3,"HJdXGy1RW",NA,"1710.11176v2","automatic"
"Learning to Teach","[""Yang Fan"", ""Fei Tian"", ""Tao Qin"", ""Xiang-Yang Li"", ""Tie-Yan Liu""]","Learning to Teach","Yang Fan|Fei Tian|Tao Qin|Xiang-Yang Li|Tie-Yan Liu","2018-05-09 04:41:26","2018-05-09 04:41:26",7.33333333333333,3,"HJewuJWCZ",NA,"1805.03643v1","automatic"
"Bit-Regularized Optimization of Neural Nets","[""Mohamed Amer"", ""Aswin Raghavan"", ""Graham W. Taylor"", ""Sek Chai""]",NA,NA,NA,NA,3.66666666666667,3,"HJg1NTGZRZ",NA,NA,"automatic"
"Learning a neural response metric for retinal prosthesis","[""Nishal P Shah"", ""Sasidhar Madugula"", ""EJ Chichilnisky"", ""Yoram Singer"", ""Jonathon Shlens""]",NA,NA,NA,NA,6,3,"HJhIM0xAW",NA,NA,"automatic"
"Better Generalization by Efficient Trust Region Method","[""Xuanqing Liu"", ""Jason D. Lee"", ""Cho-Jui Hsieh""]",NA,NA,NA,NA,5.66666666666667,3,"HJjePwx0-",NA,NA,"automatic"
"Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor","[""Tuomas Haarnoja"", ""Aurick Zhou"", ""Pieter Abbeel"", ""Sergey Levine""]","Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement
  Learning with a Stochastic Actor","Tuomas Haarnoja|Aurick Zhou|Pieter Abbeel|Sergey Levine","2018-01-04 09:50:50","2018-08-08 21:27:08",5,3,"HJjvxl-Cb","1801.01290","1801.01290v2","manual_title"
"AMPNet: Asynchronous Model-Parallel Training for Dynamic Neural Networks","[""Alexander L. Gaunt"", ""Matthew A. Johnson"", ""Alan Lawrence"", ""Maik Riechert"", ""Daniel Tarlow"", ""Ryota Tomioka"", ""Dimitrios Vytiniotis"", ""Sam Webster""]","AMPNet: Asynchronous Model-Parallel Training for Dynamic Neural Networks","Alexander L. Gaunt|Matthew A. Johnson|Maik Riechert|Daniel Tarlow|Ryota Tomioka|Dimitrios Vytiniotis|Sam Webster","2017-05-27 08:10:40","2017-06-22 17:34:30",5.33333333333333,3,"HJnQJXbC-",NA,"1705.09786v3","automatic"
"ENRICHMENT OF FEATURES FOR CLASSIFICATION USING AN OPTIMIZED LINEAR/NON-LINEAR COMBINATION OF INPUT FEATURES","[""Mehran Taghipour-Gorjikolaie"", ""Seyyed Mohammad Razavi"", ""Javad Sadri""]",NA,NA,NA,NA,2,3,"HJqUtdOaZ",NA,NA,"automatic"
"Improving image generative models with human interactions","[""Andrew Kyle Lampinen"", ""David So"", ""Douglas Eck"", ""Fred Bertsch""]","Improving image generative models with human interactions","Andrew Kyle Lampinen|David So|Douglas Eck|Fred Bertsch","2017-09-29 15:38:42","2017-09-29 15:38:42",4.33333333333333,3,"HJr4QJ26W",NA,"1709.10459v1","automatic"
"Self-Supervised Learning of Object Motion Through Adversarial Video Prediction","[""Alex X. Lee"", ""Frederik Ebert"", ""Richard Zhang"", ""Chelsea Finn"", ""Pieter Abbeel"", ""Sergey Levine""]",NA,NA,NA,NA,4,4,"HJrJpzZRZ",NA,NA,"automatic"
"i-RevNet: Deep Invertible Networks","[""J\u00f6rn-Henrik Jacobsen"", ""Arnold W.M. Smeulders"", ""Edouard Oyallon""]","i-RevNet: Deep Invertible Networks","Jörn-Henrik Jacobsen|Arnold Smeulders|Edouard Oyallon","2018-02-20 12:38:49","2018-02-20 12:38:49",8.33333333333333,3,"HJsjkMb0Z",NA,"1802.07088v1","automatic"
"Structured Deep Factorization Machine: Towards General-Purpose Architectures","[""Jos\u00e9 P. Gonz\u00e1lez-Brenes"", ""Ralph Edezhath""]",NA,NA,NA,NA,3.66666666666667,3,"HJsk5-Z0W",NA,NA,"automatic"
"Deep Voice 3: Scaling Text-to-Speech with Convolutional Sequence Learning","[""Wei Ping"", ""Kainan Peng"", ""Andrew Gibiansky"", ""Sercan O. Arik"", ""Ajay Kannan"", ""Sharan Narang"", ""Jonathan Raiman"", ""John Miller""]","Deep Voice 3: Scaling Text-to-Speech with Convolutional Sequence Learning","Wei Ping|Kainan Peng|Andrew Gibiansky|Sercan O. Arik|Ajay Kannan|Sharan Narang|Jonathan Raiman|John Miller","2017-10-20 18:17:23","2018-02-22 06:23:45",6.33333333333333,3,"HJtEm4p6Z",NA,"1710.07654v3","automatic"
"An image representation based convolutional network for DNA classification","[""Bojian Yin"", ""Marleen Balvert"", ""Davide Zambrano"", ""Alexander Schoenhuth"", ""Sander Bohte""]","An image representation based convolutional network for DNA classification","Bojian Yin|Marleen Balvert|Davide Zambrano|Alexander Schönhuth|Sander Bohte","2018-06-13 10:27:44","2018-06-13 10:27:44",7,3,"HJvvRoe0W",NA,"1806.04931v1","automatic"
"Learning Dynamic State Abstractions for Model-Based Reinforcement Learning","[""Lars Buesing"", ""Theophane Weber"", ""Sebastien Racaniere"", ""S. M. Ali Eslami"", ""Danilo Rezende"", ""David Reichert"", ""Fabio Viola"", ""Frederic Besse"", ""Karol Gregor"", ""Demis Hassabis"", ""Daan Wierstra""]",NA,NA,NA,NA,6.33333333333333,3,"HJw8fAgA-",NA,NA,"automatic"
"Efficient Sparse-Winograd Convolutional Neural Networks","[""Xingyu Liu"", ""Jeff Pool"", ""Song Han"", ""William J. Dally""]","Efficient Sparse-Winograd Convolutional Neural Networks","Xingyu Liu|Jeff Pool|Song Han|William J. Dally","2018-02-18 12:29:05","2018-02-18 12:29:05",7.33333333333333,3,"HJzgZ3JCW",NA,"1802.06367v1","automatic"
"The Manifold Assumption and Defenses Against Adversarial Perturbations","[""Xi Wu"", ""Uyeong Jang"", ""Lingjiao Chen"", ""Somesh Jha""]",NA,NA,NA,NA,4,3,"Hk-FlMbAZ",NA,NA,"automatic"
"Learning Sparse Latent Representations with the Deep Copula Information Bottleneck","[""Aleksander Wieczorek*"", ""Mario Wieser*"", ""Damian Murezzan"", ""Volker Roth""]","Learning Sparse Latent Representations with the Deep Copula Information Bottleneck","Aleksander Wieczorek|Mario Wieser|Damian Murezzan|Volker Roth","2018-04-17 13:09:19","2018-04-19 12:10:32",5.75,4,"Hk0wHx-RW",NA,"1804.06216v2","automatic"
"Coupled Ensembles of Neural Networks","[""Anuvabh Dutt"", ""Denis Pellerin"", ""Georges Qu\u00e9not""]","Coupled Ensembles of Neural Networks","Anuvabh Dutt|Denis Pellerin|Georges Quénot","2017-09-18 17:16:26","2017-09-18 17:16:26",6,3,"Hk2MHt-3-",NA,"1709.06053v1","automatic"
